Fid,LATITUDE,LONGITUDE,wdate,precipitation,temp_max,temp_min,wind,weather
10.42.0.211-52.84.145.189-55551-443-6,48.64605554,-122.3318655,22-08-22,0,22.2,13.3,2.3,sun
10.42.0.211-64.71.142.96-52478-443-6,47.7588108,-122.1146164,23-08-22,0,21.1,13.9,3.8,sun
10.42.0.1-10.42.0.42-53-57235-17,47.40791621,-122.0218295,24-08-22,0,22.2,10,3.3,sun
10.42.0.211-10.42.0.1-46068-53-17,46.20246275,-119.2528948,25-08-22,0,26.1,11.7,3.2,sun
183.79.248.124-10.42.0.42-443-43909-6,47.78404091,-122.3053715,26-08-22,0,21.1,12.2,3.4,sun
205.204.101.196-10.42.0.211-443-46725-6,46.28270136,-119.285542,27-08-22,0,23.9,13.3,1.8,sun
10.42.0.211-74.6.105.13-51036-443-6,47.77513,-122.181391,28-08-22,0,22.8,12.2,3.2,sun
172.217.9.238-10.42.0.151-443-49502-6,38.93118475,-77.07217312,29-08-22,0,22.8,13.3,2.4,sun
203.205.158.66-10.42.0.42-80-53133-6,38.96523697,-77.01416485,30-08-22,0,22.8,12.8,1.9,sun
10.42.0.211-36.51.254.232-55092-443-6,38.91601164,-77.09443005,31-08-22,0,22.2,10.6,2.9,sun
10.42.0.42-69.28.57.146-57071-9090-6,38.91773873,-77.09792318,01-09-22,0,21.7,10.6,2.1,sun
151.101.0.166-10.42.0.211-443-48705-6,38.96622491,-77.00931425,02-09-22,0,21.1,10,2,sun
172.217.10.67-10.42.0.151-443-33764-6,38.93234974,-77.03778661,03-09-22,0,22.8,12.8,3.3,sun
206.126.112.142-10.42.0.151-443-59067-6,38.946844,-77.07025969,04-09-22,0,24.4,11.1,3.1,sun
10.42.0.151-10.42.0.1-61707-53-17,38.94047312,-77.07432229,05-09-22,0,26.1,11.7,2.6,sun
198.105.244.11-10.42.0.151-80-54256-6,38.92840827,-77.07184912,06-09-22,0,28.3,14.4,4.2,sun
10.42.0.211-54.190.179.118-53363-80-6,38.93174613,-76.99145563,07-09-22,0,32.2,13.3,3.1,sun
172.217.10.33-10.42.0.211-443-33016-6,38.91833759,-77.03332184,08-09-22,0,25,13.3,3,sun
10.42.0.211-65.55.223.31-60774-40015-17,38.90953296,-77.0621496,09-09-22,0.3,18.9,13.9,5,rain
10.42.0.211-10.42.0.1-54610-53-17,38.94338853,-76.99366075,10-09-22,0.3,20,11.7,3.9,rain
10.42.0.211-104.192.110.245-36565-443-6,29.95122433,-82.08167238,11-09-22,0,20,8.9,4.2,sun
10.42.0.1-10.42.0.42-53-16688-17,30.19180179,-85.69141994,12-09-22,0,22.2,10,5.6,sun
10.42.0.42-104.193.88.109-35760-80-6,30.15062372,-85.64690279,13-09-22,0,27.8,11.7,3.6,sun
10.42.0.42-36.51.254.232-43848-443-6,29.8393315,-82.06611558,14-09-22,0,26.1,11.1,1.5,sun
203.205.158.61-10.42.0.42-80-53996-6,30.19152999,-85.66191217,15-09-22,0,22.2,11.1,1.9,sun
10.42.0.211-112.80.248.220-49899-80-6,30.04043557,-82.16768019,16-09-22,0,24.4,9.4,2.3,sun
10.42.0.42-106.39.162.36-56246-80-6,30.2081757,-85.6701719,17-09-22,0,27.8,11.7,2.2,rain
183.56.172.140-10.42.0.151-80-59439-6,30.16706421,-85.6886228,18-09-22,0,27.8,11.7,1.4,sun
221.228.208.97-10.42.0.211-80-49901-6,37.59599,-77.517581,19-09-22,0,23.9,11.7,1.9,drizzle
172.217.10.238-10.42.0.151-443-43853-6,37.6964,-77.433871,20-09-22,0,19.4,10,2.5,drizzle
10.42.0.151-95.213.11.133-44546-80-6,38.91004016,-77.4931829,21-09-22,0,16.1,12.8,2.1,drizzle
180.163.15.184-10.42.0.151-80-56668-6,39.11539585,-78.19332531,22-09-22,0.3,19.4,11.7,1.1,rain
10.42.0.42-23.192.76.180-57614-443-6,39.10950431,-77.82882013,23-09-22,0,19.4,10,1.4,rain
157.240.18.36-10.42.0.211-443-52973-6,38.99528,-77.527611,24-09-22,0,21.1,10,1.8,rain
10.42.0.151-64.71.142.125-33334-443-6,47.74067566,-121.9857529,25-09-22,0,19.4,11.1,1.7,sun
205.204.101.182-10.42.0.211-443-41734-6,47.55685,-122.120515,26-09-22,0,19.4,9.4,1.7,drizzle
10.42.0.151-54.192.38.230-41259-443-6,45.72186769,-121.4746725,27-09-22,0,22.8,10,1.7,drizzle
172.217.10.238-10.42.0.151-443-60134-6,47.54953328,-122.2866257,28-09-22,0,25,12.2,1.1,rain
216.58.219.193-10.42.0.151-443-48438-6,47.45299267,-122.1117217,29-09-22,0,20.6,12.2,4.3,sun
10.42.0.211-23.101.116.26-50869-443-6,45.61636855,-122.5150178,30-09-22,0,21.1,7.8,3.1,sun
10.42.0.151-10.42.0.1-40758-53-17,47.63629485,-122.5205086,01-10-22,0,23.3,8.9,3,sun
183.79.250.251-10.42.0.211-443-54403-6,47.81424581,-122.3752431,02-10-22,0,17.8,10,4.1,sun
172.217.10.74-10.42.0.151-443-47357-6,47.52065,-122.33917,03-10-22,0,18.9,7.8,7.3,sun
10.42.0.211-31.13.80.52-57402-443-6,47.24566979,-122.4642788,04-10-22,0,18.9,8.3,6.5,sun
192.229.173.173-10.42.0.211-443-45482-6,47.52197477,-122.3878541,05-10-22,0,21.7,8.9,5.7,sun
205.204.101.196-10.42.0.42-443-53378-6,39.99245742,-80.73075469,06-10-22,0,23.9,7.8,5.1,sun
192.229.173.173-10.42.0.151-80-57980-6,38.98565,-81.448831,07-10-22,0,23.9,7.8,1.3,sun
10.42.0.42-119.146.74.31-35561-443-6,38.3837,-81.824781,08-10-22,0,21.1,7.8,1.9,sun
10.42.0.211-10.42.0.1-57668-53-17,39.03806,-80.465331,09-10-22,0,16.1,8.9,1.6,drizzle
192.229.173.173-10.42.0.211-443-37733-6,39.28418022,-80.33767162,10-10-22,0,12.2,8.3,1.4,drizzle
10.42.0.151-104.88.88.137-43558-80-6,38.12842746,-81.25033779,11-10-22,0,13.9,7.2,1.3,drizzle
10.42.0.151-104.193.88.109-56813-80-6,43.0903081,-87.95176608,12-10-22,2,13.9,8.9,4.6,rain
10.42.0.211-14.29.93.254-51275-80-6,42.76308964,-87.80267238,13-10-22,4.8,15.6,12.2,3.9,rain
10.42.0.151-10.42.0.1-32806-53-17,44.00980289,-90.54087276,14-10-22,16.5,17.8,13.3,3.4,rain
172.217.9.238-10.42.0.211-443-52933-6,43.05843201,-87.88978311,15-10-22,7.9,17.2,11.1,4.6,rain
10.42.0.1-10.42.0.42-53-50643-17,43.319577,-87.946242,16-10-22,0,16.1,8.3,5.5,sun
10.42.0.151-10.42.0.1-29260-53-17,43.08904,-88.018731,17-10-22,0,14.4,6.1,1.6,sun
172.217.11.14-10.42.0.151-443-36039-6,44.17188447,-88.26088075,18-10-22,20.8,17.8,6.7,2,rain
10.42.0.1-10.42.0.42-53-54159-17,44.65977,-91.723491,19-10-22,4.8,15,9.4,5.3,rain
10.42.0.211-123.125.29.220-55258-80-6,45.17642144,-91.01067456,20-10-22,0.5,11.1,6.1,5.7,rain
10.42.0.42-23.217.155.120-44283-80-6,44.911545,-90.678945,21-10-22,6.4,11.7,4.4,2.7,rain
192.229.163.180-10.42.0.151-443-58361-6,43.534862,-90.164618,22-10-22,8.9,7.8,3.3,2.6,rain
172.217.6.228-10.42.0.42-443-44968-6,42.69646277,-89.37093824,23-10-22,0,11.1,5.6,3,rain
157.240.18.15-10.42.0.211-443-42532-6,43.02610974,-89.27737669,24-10-22,7.1,11.7,6.1,2.1,rain
10.42.0.211-72.21.206.121-37307-443-6,43.52172585,-89.69250603,25-10-22,0,11.7,6.7,1.5,sun
10.42.0.211-10.42.0.1-45996-53-17,44.71217108,-90.55308659,26-10-22,1.5,11.1,7.2,2.5,rain
10.42.0.211-69.147.82.61-35460-443-6,44.74116093,-90.56135591,27-10-22,23.1,14.4,9.4,5.1,rain
172.217.12.131-10.42.0.151-443-37281-6,43.07416,-88.065611,28-10-22,6.1,14.4,10,3.8,rain
182.22.24.124-10.42.0.211-443-41764-6,44.78835,-90.553371,29-10-22,10.9,15.6,10,4.9,rain
10.42.0.42-123.125.115.164-53520-443-6,44.7857952,-88.46974828,30-10-22,34.5,15,12.2,2.8,rain
180.149.136.194-10.42.0.211-80-43754-6,42.646644,-89.387045,31-10-22,14.5,15.6,11.1,2.7,rain
10.42.0.211-66.198.24.250-33145-80-6,42.67881605,-87.85507361,01-11-22,9.7,15,10.6,3,rain
172.217.10.42-10.42.0.211-443-36144-6,43.908675,-89.776337,02-11-22,5.6,15,10.6,1,rain
10.42.0.42-104.254.66.16-45739-80-6,42.50110711,-89.02603331,03-11-22,0.5,15.6,11.1,3.6,rain
172.217.10.97-10.42.0.211-443-34438-6,44.75578,-90.46055,04-11-22,8.1,17.8,12.8,3.8,rain
10.42.0.42-64.71.142.120-52594-80-6,43.08870766,-88.02399344,05-11-22,0.8,15,7.8,4,rain
172.217.9.227-10.42.0.151-443-41096-6,43.89496,-90.917361,06-11-22,0.3,12.8,6.7,3.5,rain
172.217.6.206-10.42.0.151-443-59197-6,43.09103248,-88.03109155,07-11-22,0,12.2,3.9,3.4,rain
172.217.10.106-10.42.0.211-443-44536-6,45.105904,-90.31379,08-11-22,0,10,1.1,3.4,rain
172.217.3.110-10.42.0.151-443-50599-6,44.91114869,-89.61126204,09-11-22,0,8.9,1.1,2,rain
217.69.136.175-10.42.0.151-443-45052-6,43.28164791,-89.72729544,10-11-22,0,7.8,-0.6,2.2,sun
172.217.12.208-10.42.0.151-443-60324-6,42.95767757,-90.12662986,11-11-22,15.2,8.9,1.1,3,rain
10.42.0.211-10.42.0.1-8932-53-17,43.01186569,-88.22700666,12-11-22,3.6,12.8,6.1,3,rain
10.42.0.211-54.219.149.130-36496-443-6,43.97986939,-90.50797267,13-11-22,5.3,11.1,7.8,2.5,rain
180.149.153.234-10.42.0.211-80-53937-6,43.01935044,-87.9579849,14-11-22,0.8,11.1,5,2.6,rain
10.42.0.42-104.97.95.172-57305-80-6,43.38990477,-90.19784346,15-11-22,0,9.4,2.8,2.4,drizzle
10.42.0.151-104.244.43.227-44705-443-6,42.81055,-108.704881,16-11-22,5.6,9.4,2.2,1.6,rain
10.42.0.211-118.123.114.134-55665-80-6,40.6482344,-111.8383324,17-11-22,6.1,12.2,6.1,5.3,rain
208.80.154.224-10.42.0.42-443-35452-6,40.4962936,-111.4193855,18-11-22,7.9,10,6.1,4.9,rain
172.217.10.14-10.42.0.151-443-36116-6,37.46731943,-113.2777029,19-11-22,54.1,13.3,8.3,6,rain
10.42.0.211-10.42.0.1-1848-53-17,37.13003,-113.647251,20-11-22,3.8,11.1,7.2,4.2,rain
192.229.173.173-10.42.0.42-80-37392-6,41.19128218,-111.9652496,21-11-22,11.2,8.3,3.9,5.5,rain
10.42.0.211-64.71.142.96-53227-443-6,37.0884312,-113.5879562,22-11-22,0,8.9,2.8,1.5,rain
172.217.12.174-10.42.0.151-443-36482-6,42.84224,-72.574521,23-11-22,32,9.4,6.1,2.4,rain
192.229.173.173-10.42.0.42-80-37256-6,38.8865174,-77.08603743,24-11-22,0,8.9,3.9,1.2,rain
172.217.6.234-10.42.0.42-443-47732-6,38.74132221,-77.20388813,25-11-22,0,8.3,1.1,3.6,drizzle
172.217.6.202-10.42.0.211-443-44942-6,37.54592742,-77.40155702,26-11-22,0,9.4,1.7,3.8,rain
172.217.10.42-10.42.0.42-443-45750-6,38.56623987,-78.23146915,27-11-22,0,10,1.7,1.5,sun
10.42.0.211-10.42.0.1-41153-53-17,36.86566074,-76.29041498,28-11-22,2.8,9.4,2.2,2.9,rain
10.42.0.211-10.42.0.1-26081-53-17,38.75952723,-77.57560245,29-11-22,1.5,12.8,7.8,4.2,rain
169.47.5.250-10.42.0.211-443-50765-6,36.61348698,-79.40927859,30-11-22,35.6,15,7.8,4.6,rain
183.3.235.80-10.42.0.151-80-53226-6,38.93524711,-78.15431727,01-12-22,4.1,13.3,8.3,5.5,rain
172.217.12.138-10.42.0.151-443-45341-6,36.71465061,-76.25567402,02-12-22,19.6,8.3,7.2,6.2,rain
10.42.0.211-10.42.0.1-6063-53-17,37.59437554,-77.5249787,03-12-22,13,9.4,7.2,4.4,rain
217.10.138.216-10.42.0.211-80-37790-6,37.15324974,-76.45963582,04-12-22,14.2,11.7,7.2,6.2,rain
10.42.0.1-10.42.0.42-53-31607-17,36.85312939,-76.18956138,05-12-22,1.5,8.9,4.4,5,rain
172.217.11.35-10.42.0.151-443-32956-6,36.97973639,-82.56956161,06-12-22,1.5,7.2,6.1,5.1,rain
140.205.230.8-10.42.0.211-80-39944-6,38.76957,-77.61885268,07-12-22,1,7.8,3.3,4.6,rain
10.42.0.211-114.112.89.213-46634-80-6,36.87787718,-76.28904864,08-12-22,0,6.7,3.3,2,sun
183.79.250.123-10.42.0.151-443-60970-6,38.76520023,-77.4841397,09-12-22,1.5,6.7,2.8,2.1,rain
180.149.136.247-10.42.0.211-80-36442-6,38.84399128,-77.2997347,10-12-22,0.5,7.2,5.6,1.8,rain
10.42.0.42-121.12.98.85-59006-80-6,36.81870975,-76.18282955,11-12-22,3,7.8,5.6,4.5,rain
10.42.0.151-52.84.145.176-35771-80-6,37.37351964,-77.50736714,12-12-22,8.1,6.7,4.4,2,rain
239.255.255.250-10.42.0.1-1900-50073-17,47.84768614,-122.3031311,13-12-22,2.3,7.2,3.3,2.8,rain
10.42.0.151-106.39.169.66-52386-80-6,47.61767467,-122.1521195,14-12-22,7.9,6.1,1.1,1.7,rain
10.42.0.151-31.13.80.5-56530-443-6,48.42291386,-122.335503,15-12-22,5.3,4.4,0.6,5.1,drizzle
172.217.6.234-10.42.0.151-443-50838-6,48.50348853,-122.6102134,16-12-22,22.6,6.7,3.3,5.5,drizzle
10.42.0.42-119.146.74.31-35455-443-6,47.52564513,-122.6414806,17-12-22,2,8.3,1.7,9.5,rain
10.42.0.211-10.42.0.1-17397-53-17,47.67307796,-122.2019433,18-12-22,3.3,3.9,0.6,5.3,drizzle
10.42.0.42-54.192.38.88-36703-443-6,48.51695523,-122.6179043,19-12-22,13.7,8.3,1.7,5.8,drizzle
10.42.0.151-104.244.42.1-44052-443-6,47.58886,-122.296481,20-12-22,13.2,7.2,0.6,3.7,rain
202.77.129.150-10.42.0.211-443-40691-6,47.77242099,-122.2744024,21-12-22,1.8,8.3,-1.7,1.7,rain
10.42.0.42-37.1.204.175-45023-80-6,47.37876138,-122.0491442,22-12-22,3.3,8.3,3.9,3.5,rain
10.42.0.211-10.42.0.1-62760-53-17,47.7689,-122.205411,23-12-22,6.6,7.2,3.3,2.5,rain
172.217.12.195-10.42.0.211-443-49653-6,45.72853359,-121.4862894,24-12-22,0.3,5.6,2.8,2.8,rain
10.42.0.151-10.42.0.1-18474-53-17,39.5031,-77.939511,25-12-22,13.5,5.6,2.8,4.2,drizzle
172.217.6.202-10.42.0.211-443-51690-6,43.35380949,-90.38792398,26-12-22,4.6,6.7,3.3,4.9,rain
10.42.0.151-31.13.71.3-46295-443-6,30.30867616,-81.65798933,27-12-22,4.1,7.8,3.3,3.2,rain
172.217.9.227-10.42.0.42-443-51906-6,30.29507977,-81.52663056,28-12-22,0,8.3,3.9,1.7,rain
198.11.189.2-10.42.0.211-443-44896-6,30.28459454,-81.62142616,29-12-22,1.5,5,3.3,1.7,rain
10.42.0.151-10.42.0.1-28521-53-17,30.33088105,-81.58688226,30-12-22,0,4.4,0,1.8,drizzle
10.42.0.211-58.63.236.212-36495-443-6,30.22627886,-81.61534067,31-12-22,0,3.3,-1.1,2,drizzle
10.42.0.211-104.84.148.238-34754-443-6,30.19322289,-81.6215823,01-01-13,0,5,-2.8,2.7,sun
10.42.0.211-69.147.82.61-46970-443-6,30.24387652,-81.6261445,02-01-13,0,6.1,-1.1,3.2,sun
10.42.0.151-10.42.0.1-14925-53-17,28.95309084,-82.44192421,03-01-13,4.1,6.7,-1.7,3,rain
203.205.147.229-10.42.0.151-80-59775-6,30.3102319,-81.79675967,04-01-13,2.5,10,2.2,2.8,rain
172.217.10.142-10.42.0.42-443-46230-6,37.26194628,-113.2838769,05-01-13,3,6.7,4.4,3.1,rain
222.73.28.96-10.42.0.42-80-43347-6,37.26186895,-113.2838249,06-01-13,2,7.2,2.8,3,rain
172.217.11.14-10.42.0.42-443-34677-6,43.06597675,-72.47547631,07-01-13,2.3,10,4.4,7.3,rain
8.0.6.4-8.6.0.1-0-0-0,38.90102624,-77.42775531,08-01-13,16.3,11.7,5.6,6.3,rain
10.42.0.211-72.30.3.43-55524-443-6,37.05898195,-81.76557741,09-01-13,38.4,10,1.7,5.1,rain
172.217.12.170-10.42.0.151-443-40388-6,37.37542048,-77.50969088,10-01-13,0.3,3.3,-0.6,2.1,drizzle
10.42.0.151-106.11.129.143-58309-80-6,38.41608,-78.801661,11-01-13,0,2.8,-2.8,1.9,drizzle
216.58.219.200-10.42.0.211-443-43202-6,38.7681,-77.705941,12-01-13,0,2.8,-3.9,2,sun
222.73.28.96-10.42.0.42-80-57275-6,38.73967,-77.053841,13-01-13,0,2.2,-4.4,1.5,sun
10.42.0.211-111.1.17.152-40840-8077-6,38.94418302,-77.56267195,14-01-13,0,3.3,-2.2,1.3,sun
8.0.6.4-8.6.0.1-0-0-0,47.80174,-122.310081,15-01-13,0,6.7,-0.6,2.3,sun
172.217.12.142-10.42.0.211-80-37674-6,47.57715238,-122.0379706,16-01-13,0,6.1,-3.9,1.8,drizzle
222.73.28.96-10.42.0.211-80-37134-6,48.36392588,-120.1231105,17-01-13,0,3.9,-2.8,1,drizzle
10.42.0.211-106.39.169.66-47712-443-6,47.66487,-117.229701,18-01-13,0,3.3,-1.1,1.3,drizzle
10.42.0.151-10.42.0.1-5496-53-17,47.72113,-122.290201,19-01-13,0,1.1,-0.6,1.9,drizzle
10.42.0.211-52.84.134.65-41286-443-6,47.78046467,-122.2722803,20-01-13,0,3.3,-0.6,2.1,drizzle
10.42.0.42-103.43.91.18-50884-443-6,43.104957,-87.978639,21-01-13,0,2.2,-1.7,1.1,drizzle
10.42.0.211-10.42.0.1-17050-53-17,43.02448231,-87.92710297,22-01-13,0,3.3,-1.7,0.6,drizzle
10.42.0.211-10.42.0.1-31694-53-17,43.17677608,-88.11137519,23-01-13,5.1,7.2,2.2,3.1,rain
10.42.0.211-104.192.110.245-38721-443-6,43.17827746,-88.02238769,24-01-13,5.8,7.2,1.1,2.6,rain
10.42.0.211-123.125.115.164-59542-443-6,43.09106503,-88.03110926,25-01-13,3,10.6,2.8,2.1,rain
172.217.10.3-10.42.0.42-443-59045-6,45.18967,-90.590121,26-01-13,2.3,8.3,3.9,4.5,rain
209.10.120.26-10.42.0.211-80-44911-6,45.45517357,-91.11984204,27-01-13,1.8,5.6,3.9,4.5,rain
151.101.208.166-10.42.0.151-443-42801-6,43.62421,-89.231731,28-01-13,7.9,6.1,3.3,3.2,rain
183.79.250.123-10.42.0.211-443-35996-6,43.10117174,-87.91531329,29-01-13,4.3,8.3,5,3.9,rain
10.42.0.151-104.192.110.245-36204-80-6,44.06786003,-89.14120103,30-01-13,3.6,8.9,6.7,3.9,rain
172.217.6.234-10.42.0.211-443-51963-6,42.71415362,-87.81698115,31-01-13,3,9.4,7.2,4,rain
10.42.0.42-13.107.3.128-54461-443-6,43.38989854,-90.19784837,01-02-13,0.3,11.7,5,2.9,rain
10.42.0.151-54.192.37.227-57323-443-6,44.62366,-88.906911,02-02-13,0,6.1,2.8,2,drizzle
172.217.3.106-10.42.0.151-443-58134-6,43.55699833,-90.20786194,03-02-13,2.3,8.9,2.8,2.9,rain
10.42.0.42-85.93.5.83-33860-80-6,44.3569,-91.256341,04-02-13,0,10.6,6.7,2.6,rain
172.217.6.238-10.42.0.151-443-46281-6,40.2004019,-105.0727264,05-02-13,3.3,10,6.7,5.1,rain
10.42.0.211-104.192.110.245-59746-80-6,29.74204697,-95.50021792,06-02-13,1,10.6,6.1,4.5,rain
10.42.0.211-111.1.17.152-41736-80-6,37.27680989,-107.8775926,07-02-13,1.3,9.4,3.3,4.1,rain
10.42.0.151-104.192.110.245-56864-443-6,33.07260164,-97.09240746,08-02-13,0,7.8,2.2,1.3,sun
10.42.0.211-10.42.0.1-8039-53-17,39.62365892,-104.8791525,09-02-13,0.3,8.3,4.4,1.3,rain
239.255.255.250-10.42.0.1-1900-41501-17,32.53550742,-94.71937437,10-02-13,0,8.9,1.7,2,drizzle
10.42.0.211-66.102.255.44-38563-443-6,41.45457748,-73.0361653,11-02-13,0.3,8.3,4.4,1.4,rain
10.42.0.42-64.71.142.95-54411-80-6,29.19842151,-95.42995462,12-02-13,1,11.1,7.2,5.6,rain
10.42.0.151-10.42.0.1-37027-53-17,41.56798197,-73.04073569,13-02-13,2.3,9.4,7.2,4.1,rain
10.42.0.211-112.80.248.220-34431-443-6,32.79752283,-96.61274098,14-02-13,1,9.4,5.6,2.2,rain
172.217.12.138-10.42.0.151-443-36340-6,41.23799482,-73.00977582,15-02-13,0,13.3,5,2.4,drizzle
172.217.11.1-10.42.0.211-443-60026-6,32.19860945,-95.83521994,16-02-13,0,11.1,3.9,5.6,rain
10.42.0.211-10.42.0.1-14992-53-17,29.58723457,-98.64509785,17-02-13,0,9.4,4.4,3.4,rain
172.217.3.104-10.42.0.211-443-55019-6,30.1837575,-97.81711956,18-02-13,0,7.8,3.9,1.9,rain
10.42.0.1-10.42.0.42-53-63274-17,25.92279902,-97.50989886,19-02-13,0,10.6,1.7,3.4,sun
216.58.217.100-10.42.0.211-443-53254-6,30.51712038,-97.77490206,20-02-13,1.5,7.8,1.1,2.1,rain
10.42.0.151-66.231.239.122-37377-80-6,33.05868187,-96.77326348,21-02-13,0.5,6.7,3.9,6.2,rain
10.42.0.42-106.11.95.2-46708-443-6,29.75773878,-95.40789378,22-02-13,9.4,7.8,3.9,8.1,rain
180.163.255.159-10.42.0.211-80-34697-6,33.09403527,-96.64588168,23-02-13,0.3,10,3.9,4.6,rain
10.42.0.151-23.208.38.196-35273-443-6,32.99737177,-96.8550033,24-02-13,0,8.9,5,5.5,rain
10.42.0.151-10.42.0.1-5732-53-17,33.38655761,-96.55844453,25-02-13,2.3,10.6,3.3,7.1,rain
172.217.2.106-10.42.0.211-443-59370-6,32.65779028,-97.11323007,26-02-13,0.5,8.9,3.9,3.8,rain
156.154.202.36-10.42.0.42-443-53997-6,32.76821444,-97.79453778,27-02-13,4.6,10,4.4,1.8,rain
175.100.207.231-10.42.0.211-80-37025-6,33.01540573,-96.81203606,28-02-13,8.1,11.7,6.7,3.8,rain
10.42.0.211-23.206.173.182-55689-80-6,31.98316933,-102.1515679,01-03-13,4.1,15,11.1,5.4,rain
172.217.10.35-10.42.0.211-443-54429-6,32.5954065,-96.89059762,02-03-13,0.8,13.9,5,4.5,rain
172.217.10.142-10.42.0.211-443-37803-6,30.14079047,-95.50878856,03-03-13,0,11.1,2.2,2.8,sun
10.42.0.211-120.27.153.169-60755-80-6,32.91758158,-96.80201852,04-03-13,0,13.3,0,3.9,sun
174.35.73.149-10.42.0.211-80-59860-6,29.7540862,-94.92747985,05-03-13,0,9.4,6.1,2.4,rain
10.42.0.211-50.18.251.157-58343-443-6,28.95964949,-96.64845099,06-03-13,11.9,7.2,5,4.1,rain
172.217.6.238-10.42.0.42-443-43740-6,31.76869583,-106.4404199,07-03-13,7.4,12.2,5,2.5,rain
172.217.11.46-10.42.0.151-443-35635-6,33.469804,-94.07979931,08-03-13,0,11.7,2.2,2.6,drizzle
172.217.10.234-10.42.0.151-443-46890-6,32.64887022,-96.9101973,09-03-13,0,12.8,1.1,1.3,rain
10.42.0.211-125.88.193.226-50087-80-6,29.74271527,-95.42703526,10-03-13,0.8,7.8,3.9,1.6,rain
172.217.12.142-10.42.0.151-443-59913-6,32.90615869,-96.43759322,11-03-13,1.3,10.6,6.1,1.1,rain
216.58.219.227-10.42.0.151-443-44735-6,29.54308721,-98.64017852,12-03-13,2,12.8,10,5.7,rain
175.100.207.233-10.42.0.151-80-52178-6,31.7414298,-106.366875,13-03-13,2.3,11.7,9.4,3.7,rain
172.217.11.35-10.42.0.151-443-55705-6,32.80793226,-96.59490396,14-03-13,2.8,11.7,9.4,3,rain
10.42.0.211-54.187.229.83-59667-443-6,30.31873814,-97.69009261,15-03-13,0,14.4,8.9,4.3,rain
172.217.12.174-10.42.0.151-80-58451-6,32.92498101,-96.88588302,16-03-13,4.3,10.6,4.4,6.4,rain
10.42.0.151-52.84.61.117-37384-80-6,29.83131863,-95.37571342,17-03-13,0,8.9,3.9,6.1,sun
10.42.0.211-10.42.0.1-49892-53-17,33.04394382,-96.64905781,18-03-13,0,11.7,3.9,5.9,rain
203.205.158.63-10.42.0.211-80-35397-6,33.11674392,-96.69702512,19-03-13,11.7,12.8,1.7,3.4,rain
172.217.10.100-10.42.0.151-443-43696-6,27.76216657,-97.39265991,20-03-13,9.9,11.1,4.4,7.6,rain
216.58.219.202-10.42.0.151-443-38263-6,32.32900214,-95.23491036,21-03-13,8.1,10,2.2,4.9,drizzle
10.42.0.1-10.42.0.42-53-37912-17,36.93448694,-91.33237867,22-03-13,0,9.4,0.6,2.2,sun
198.11.132.221-10.42.0.211-443-39949-6,29.7400231,-95.73330309,23-03-13,0,10,1.1,2.6,sun
174.35.73.98-10.42.0.211-80-56288-6,26.19851894,-98.30235342,24-03-13,0,12.2,0.6,2.1,sun
10.42.0.151-10.42.0.1-28061-53-17,29.60193447,-95.58147958,25-03-13,0,16.7,4.4,2.8,sun
10.42.0.211-10.42.0.1-10099-53-17,30.35867931,-97.73469321,26-03-13,0,16.7,6.1,1.7,sun
172.217.6.238-10.42.0.211-80-56014-6,32.47953574,-97.379166,27-03-13,0.3,13.3,7.2,1.6,rain
10.42.0.211-119.146.74.31-36824-443-6,30.17842086,-95.543557,28-03-13,2,16.1,8.3,1.3,rain
10.42.0.211-10.42.0.1-21114-53-17,31.8609871,-102.380329,29-03-13,0,18.3,7.8,2.5,rain
180.149.136.194-10.42.0.151-80-54069-6,29.85741219,-95.6065526,30-03-13,0,20,5.6,4.4,drizzle
10.42.0.151-10.42.0.1-46232-53-17,31.1216683,-97.69177017,31-03-13,0,20.6,6.7,2.9,sun
172.217.10.42-10.42.0.211-443-42066-6,30.51598779,-97.6903857,01-04-13,0,17.2,8.3,3.6,sun
172.217.12.194-10.42.0.211-443-48689-6,32.89322266,-96.60399252,02-04-13,0,13.9,8.9,2.2,sun
158.85.48.236-10.42.0.211-5222-44414-6,30.22556199,-95.545949,03-04-13,0,16.7,7.8,1.6,sun
222.73.28.96-10.42.0.42-80-56164-6,29.59998243,-95.58029666,04-04-13,8.4,14.4,10,3,rain
172.217.11.42-10.42.0.211-443-60899-6,29.81802645,-97.68332965,05-04-13,18.5,13.9,10,5.6,rain
172.217.12.162-10.42.0.151-443-58890-6,33.54555043,-101.8796402,06-04-13,12.7,12.2,7.2,5,rain
172.217.11.14-10.42.0.151-443-58035-6,29.52491468,-98.44377488,07-04-13,39.1,8.3,5,3.9,rain
10.42.0.211-115.239.210.141-37667-443-6,32.74850782,-96.59605019,08-04-13,0.8,13.3,6.1,3.1,rain
10.42.0.211-69.147.82.61-50626-443-6,29.77805775,-95.55859264,09-04-13,0,12.2,6.1,2.4,sun
10.42.0.42-66.102.255.60-42905-80-6,33.00803778,-96.72858531,10-04-13,9.4,15,8.9,6.4,rain
10.42.0.211-10.42.0.1-4887-53-17,32.839408,-97.073979,11-04-13,1.5,12.2,6.7,3.8,rain
172.217.6.234-10.42.0.211-443-47699-6,32.85999819,-96.926389,12-04-13,9.7,7.8,4.4,4.6,rain
197.1.68.31-10.42.0.211-56889-60774-17,32.71857104,-97.41156954,13-04-13,9.4,10.6,3.3,5.7,rain
